From,To,weight
Alberto Barrón-Cedeño,Salvatore Romeo,1
Alessandro Moschitti,Antonio Uva 0001,1
Alessandro Moschitti,Giovanni Da San Martino,1
Alessandro Moschitti,Salvatore Romeo,1
Antonio Uva 0001,Giovanni Da San Martino,1
Antonio Uva 0001,Salvatore Romeo,1
Giovanni Da San Martino,Salvatore Romeo,1
Fang Chen 0001,Mehrisadat Makki Alamdari,1
Fang Chen 0001,Nguyen Lu Dang Khoa,1
Fang Chen 0001,Peter Runcie,1
Fang Chen 0001,Prasad Cheema,1
Fang Chen 0001,Wei Liu 0007,1
Fang Chen 0001,Yang Wang 0002,1
Mehrisadat Makki Alamdari,Nguyen Lu Dang Khoa,1
Mehrisadat Makki Alamdari,Peter Runcie,1
Mehrisadat Makki Alamdari,Prasad Cheema,1
Mehrisadat Makki Alamdari,Wei Liu 0007,1
Mehrisadat Makki Alamdari,Yang Wang 0002,1
Nguyen Lu Dang Khoa,Peter Runcie,1
Nguyen Lu Dang Khoa,Prasad Cheema,1
Nguyen Lu Dang Khoa,Wei Liu 0007,1
Nguyen Lu Dang Khoa,Yang Wang 0002,1
Peter Runcie,Prasad Cheema,1
Peter Runcie,Wei Liu 0007,1
Peter Runcie,Yang Wang 0002,1
Prasad Cheema,Wei Liu 0007,1
Prasad Cheema,Yang Wang 0002,1
Wei Liu 0007,Yang Wang 0002,1
Chong Peng,Ming Yang,2
Chong Peng,Qiang Cheng,2
Chong Peng,Zhao Kang,2
Ming Yang,Qiang Cheng,2
Ming Yang,Zhao Kang,2
Qiang Cheng,Zhao Kang,2
Courtney Powell,Katsunori Miura,1
Courtney Powell,Masaharu Munetomo,1
Courtney Powell,Tazro Ohta,1
Katsunori Miura,Masaharu Munetomo,1
Katsunori Miura,Tazro Ohta,1
Masaharu Munetomo,Tazro Ohta,1
Dong Deng,Michael L. Brodie,1
Dong Deng,Michael Stonebraker,1
Michael L. Brodie,Michael Stonebraker,1
Doina Caragea,Jordan DeLoach,1
Doina Caragea,Xinming Ou,1
Jordan DeLoach,Xinming Ou,1
Mehdi Sadri,Sharad Mehrotra,1
Mehdi Sadri,Yaming Yu,1
Sharad Mehrotra,Yaming Yu,1
Ninh Pham,Rasmus Pagh,1
Aston Zhang,Chengxiang Zhai,1
Aston Zhang,Jian Peng 0001,1
Aston Zhang,Rongda Zhu,1
Chengxiang Zhai,Jian Peng 0001,1
Chengxiang Zhai,Rongda Zhu,1
Jian Peng 0001,Rongda Zhu,1
Hong Cheng,Qiankun Zhu,1
Hong Cheng,Yu Rong,1
Qiankun Zhu,Yu Rong,1
Baojian Zhou,David W. Cheung,1
Baojian Zhou,Feng Chen 0001,1
Baojian Zhou,Yu Liu,1
David W. Cheung,Feng Chen 0001,1
David W. Cheung,Yu Liu,1
Feng Chen 0001,Yu Liu,1
André Csillaghy,Simon Marcin,1
Derek Kistler,Edmon Begoli,1
Derek Kistler,Jack Bates,1
Edmon Begoli,Jack Bates,1
Boyana Norris,Sara Riazi,1
Christina Vasilakopoulou,Vasilis Spyropoulos,1
Christina Vasilakopoulou,Yannis Kotidis,1
Vasilis Spyropoulos,Yannis Kotidis,1
Charles Vardeman,Holly Ferguson,2
Charles Vardeman,Jarek Nabrzyski,2
Holly Ferguson,Jarek Nabrzyski,2
Bheki Twala,Hippolyte Djonon Tsague,1
Fenglong Ma,Hengtong Zhang,1
Fenglong Ma,Houping Xiao,2
Fenglong Ma,Jing Gao 0004,2
Fenglong Ma,Lu Su,2
Fenglong Ma,Qi Li 0012,2
Fenglong Ma,Yaliang Li,1
Hengtong Zhang,Houping Xiao,1
Hengtong Zhang,Jing Gao 0004,1
Hengtong Zhang,Lu Su,1
Hengtong Zhang,Qi Li 0012,1
Hengtong Zhang,Yaliang Li,1
Houping Xiao,Jing Gao 0004,3
Houping Xiao,Lu Su,3
Houping Xiao,Qi Li 0012,2
Houping Xiao,Yaliang Li,1
Jing Gao 0004,Lu Su,3
Jing Gao 0004,Qi Li 0012,3
Jing Gao 0004,Yaliang Li,2
Lu Su,Qi Li 0012,2
Lu Su,Yaliang Li,1
Qi Li 0012,Yaliang Li,1
Arash Massoudieh,Lin-Ching Chang,1
Arash Massoudieh,Xiaomeng Liang,1
Lin-Ching Chang,Xiaomeng Liang,1
Deling Huang,Guangxia Xu,2
Deling Huang,Jingteng Zhao,1
Guangxia Xu,Jingteng Zhao,1
Bradford Littooy,Igor Mezic,1
Bradford Littooy,Michael Georgescu,1
Bradford Littooy,Sophie Loire,1
Igor Mezic,Michael Georgescu,2
Igor Mezic,Sophie Loire,2
Michael Georgescu,Sophie Loire,2
César A. F. De Rose,Fabian Lorenzo,1
César A. F. De Rose,Kassiano J. Matteussi,1
César A. F. De Rose,Miguel G. Xavier,1
Fabian Lorenzo,Kassiano J. Matteussi,1
Fabian Lorenzo,Miguel G. Xavier,1
